"last_updated","state"
"2022-06-20 15:16:37.778079","9"
"2022-06-20 15:17:37.765239","11"
"2022-06-20 15:18:37.744056","12"
"2022-06-20 15:19:37.775686","13"
"2022-06-20 15:22:37.758462","14"
"2022-06-20 15:24:37.783395","15"
"2022-06-20 15:25:37.764430","14"
"2022-06-20 15:27:37.758929","15"
"2022-06-20 15:28:37.819389","14"
"2022-06-20 15:30:37.771468","15"
"2022-06-20 15:33:37.801151","16"
"2022-06-20 15:35:37.772418","17"
"2022-06-20 15:38:37.796962","16"
"2022-06-20 15:39:37.786319","17"
"2022-06-20 15:42:37.773323","19"
"2022-06-20 15:46:37.817106","20"
"2022-06-20 15:47:37.802669","22"
"2022-06-20 15:48:37.814141","21"
"2022-06-20 15:58:37.840277","22"
"2022-06-20 16:00:37.813142","21"
"2022-06-20 16:02:37.810439","22"
"2022-06-20 16:04:37.810355","20"
"2022-06-20 16:07:37.817756","21"
"2022-06-20 16:08:37.847536","23"
"2022-06-20 16:09:37.827626","22"
"2022-06-20 16:10:37.875915","20"
"2022-06-20 16:14:37.835270","19"
"2022-06-20 16:15:37.873075","20"
"2022-06-20 16:21:37.849372","21"
"2022-06-20 16:23:37.877896","22"
"2022-06-20 16:27:37.849445","23"
"2022-06-20 16:30:37.881816","24"
"2022-06-20 16:31:37.875483","22"
"2022-06-20 16:33:37.908446","23"
"2022-06-20 16:34:37.861712","22"
"2022-06-20 16:35:37.900557","23"
"2022-06-20 16:38:37.915176","21"
"2022-06-20 16:40:37.902138","22"
"2022-06-20 16:45:37.900493","21"
"2022-06-20 16:46:37.882257","19"
"2022-06-20 16:47:37.868095","17"
"2022-06-20 16:48:37.908499","16"
"2022-06-20 16:49:37.880077","17"
"2022-06-20 16:50:37.906355","18"
"2022-06-20 16:54:37.892381","17"
"2022-06-20 16:56:37.880673","16"
"2022-06-20 16:58:37.901614","17"
"2022-06-20 16:59:37.903756","16"
"2022-06-20 17:00:37.924412","17"
"2022-06-20 17:02:37.917138","18"
"2022-06-20 17:03:37.896151","19"
"2022-06-20 17:04:37.895609","21"
"2022-06-20 17:05:37.923759","20"
"2022-06-20 17:07:37.938556","23"
"2022-06-20 17:08:37.904549","24"
"2022-06-20 17:09:37.909657","25"
"2022-06-20 17:10:37.946031","26"
"2022-06-20 17:11:37.920957","28"
"2022-06-20 17:12:37.946796","24"
"2022-06-20 17:13:37.950539","25"
"2022-06-20 17:14:37.932150","26"
"2022-06-20 17:16:37.924624","25"
"2022-06-20 17:19:37.923653","27"
"2022-06-20 17:22:37.963067","28"
"2022-06-20 17:23:37.958478","29"
"2022-06-20 17:24:37.930961","28"
"2022-06-20 17:26:37.936733","31"
"2022-06-20 17:27:37.963680","33"
"2022-06-20 17:34:38.000943","34"
"2022-06-20 17:36:37.951275","35"
"2022-06-20 17:38:37.952138","37"
"2022-06-20 17:39:37.981870","40"
"2022-06-20 17:40:37.959674","39"
"2022-06-20 17:41:37.965100","40"
"2022-06-20 17:44:38.003108","41"
"2022-06-20 17:45:37.952414","39"
"2022-06-20 17:46:37.972852","34"
"2022-06-20 17:47:37.990513","32"
"2022-06-20 17:48:37.963333","34"
"2022-06-20 17:50:37.965512","33"
"2022-06-20 17:53:37.969546","35"
"2022-06-20 17:54:38.001695","37"
"2022-06-20 17:55:38.001715","38"
"2022-06-20 17:56:37.975309","37"
"2022-06-20 17:57:37.989184","41"
"2022-06-20 17:58:37.969930","44"
"2022-06-20 17:59:38.018026","46"
"2022-06-20 18:00:37.983614","47"
"2022-06-20 18:01:37.973863","50"
"2022-06-20 18:03:37.986985","51"
"2022-06-20 18:04:38.019896","50"
"2022-06-20 18:06:37.989088","51"
"2022-06-20 18:08:37.996180","50"
"2022-06-20 18:09:38.018630","51"
"2022-06-20 18:11:37.998372","52"
"2022-06-20 18:14:38.035560","53"
"2022-06-20 18:15:37.991302","50"
"2022-06-20 18:17:38.026686","48"
"2022-06-20 18:18:37.988924","50"
"2022-06-20 18:20:37.999919","46"
"2022-06-20 18:22:38.035635","47"
"2022-06-20 18:23:38.017101","48"
"2022-06-20 18:24:38.032409","44"
"2022-06-20 18:25:38.000942","43"
"2022-06-20 18:30:16.243146","42"
"2022-06-20 18:31:15.676451","40"
"2022-06-20 18:33:15.680334","37"
"2022-06-20 18:36:15.664755","35"
"2022-06-20 18:37:15.702470","33"
"2022-06-20 18:38:15.698678","34"
"2022-06-20 18:39:15.720336","36"
"2022-06-20 18:42:15.709839","35"
"2022-06-20 18:43:15.679040","36"
"2022-06-20 18:44:15.719435","38"
"2022-06-20 18:45:15.691538","39"
"2022-06-20 18:46:15.683387","38"
"2022-06-20 18:47:15.707850","39"
"2022-06-20 18:48:15.690024","40"
"2022-06-20 18:49:15.729947","38"
"2022-06-20 18:50:15.732338","39"
"2022-06-20 18:53:15.694948","40"
"2022-06-20 18:55:15.702880","39"
"2022-06-20 18:56:15.708187","40"
"2022-06-20 18:57:15.721386","39"
"2022-06-20 18:58:15.708980","38"
"2022-06-20 18:59:15.723360","39"
"2022-06-20 19:01:15.796235","38"
"2022-06-20 19:02:15.733043","36"
"2022-06-20 19:03:15.711945","35"
"2022-06-20 19:06:15.781166","36"
"2022-06-20 19:07:15.752104","35"
"2022-06-20 19:08:15.769082","34"
"2022-06-20 19:09:15.905964","37"
"2022-06-20 19:11:15.752478","36"
"2022-06-20 19:12:15.739672","34"
"2022-06-20 19:14:15.752663","33"
"2022-06-20 19:15:15.735556","32"
"2022-06-20 19:18:15.726045","29"
"2022-06-20 19:19:15.764841","28"
"2022-06-20 19:20:15.724870","26"
"2022-06-20 19:21:15.760430","27"
"2022-06-20 19:23:15.746289","28"
